k,e,s,z,r,t
4,0.5,100,5,25.62890625,2.017278901
4,0.5,500,25,25.62890625,3.62294744
4,0.5,1000,50,17.0859375,7.373334764
4,0.5,5000,250,17.0859375,121.070914473
4,0.5,10000,500,17.0859375,480.777111714
4,0.5,25000,1250,17.0859375,2435.5554152039995
